,Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn
2446,Yes,8,Yes,Yes,DSL,No,No,Month-to-month,No,54.65,No
2447,No,52,No,Yes,Fiber optic,Yes,Yes,One year,Yes,105.0,Yes
2448,No,15,No,No,Fiber optic,No,No,Month-to-month,Yes,91.5,No
2449,No,10,No,No,Fiber optic,Yes,No,Month-to-month,Yes,89.8,Yes
2450,Yes,49,Yes,No,DSL,No,No,Month-to-month,Yes,39.2,No
2451,No,72,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,108.2,No
2452,Yes,30,Yes,No,DSL,No,No,Month-to-month,Yes,54.45,No
2453,Yes,6,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.45,No
2454,Yes,18,No,No,Fiber optic,No,Yes,Month-to-month,Yes,85.6,No
2455,No,2,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,79.85,Yes
2456,No,8,No,No,Fiber optic,No,No,Month-to-month,Yes,84.9,Yes
2457,Yes,23,No,Yes,Fiber optic,Yes,Yes,Month-to-month,No,83.8,Yes
2458,No,18,No,Yes,Fiber optic,No,No,Month-to-month,Yes,80.55,No
2459,No,60,Yes,No,Fiber optic,No,No,One year,Yes,101.4,No
2460,Yes,63,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.55,No
2461,No,70,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,102.95,Yes
2462,No,57,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,58.75,No
2463,No,46,Yes,No,DSL,No,No,One year,Yes,30.75,No
2464,No,2,No,No,DSL,No,No,Month-to-month,Yes,44.3,No
2465,Yes,1,No,Yes,DSL,No,No,Month-to-month,No,30.2,Yes
2466,Yes,7,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,71.35,No
2467,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,95.15,No
2468,No,5,No,No,Fiber optic,No,Yes,Month-to-month,Yes,96.1,Yes
2469,Yes,35,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.9,No
2470,No,43,No,Yes,Fiber optic,Yes,No,One year,Yes,100.55,No
2471,No,71,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,111.25,No
2472,No,30,No,Yes,DSL,Yes,No,One year,Yes,68.95,No
2473,No,15,No,No,Fiber optic,Yes,No,Month-to-month,Yes,94.0,No
2474,No,16,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,95.6,Yes
2475,No,41,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,104.4,No
2476,No,14,No,No,Fiber optic,Yes,No,Month-to-month,Yes,80.45,Yes
2477,No,29,No,No,Fiber optic,No,Yes,Month-to-month,Yes,79.3,No
2478,No,68,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.15,No
2479,No,68,No,Yes,DSL,No,Yes,Month-to-month,No,44.95,No
2480,No,71,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,95.5,No
2481,No,25,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,26.8,No
2482,No,13,No,Yes,DSL,No,No,Month-to-month,Yes,59.9,No
2483,Yes,59,No,No,Fiber optic,Yes,No,Two year,Yes,99.5,No
2484,No,2,No,No,Fiber optic,No,No,Month-to-month,No,74.9,Yes
2485,No,64,Yes,Yes,DSL,Yes,Yes,Two year,Yes,86.4,No
2486,No,45,Yes,No,DSL,No,Yes,Month-to-month,Yes,70.05,No
2487,No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,96.0,Yes
2488,No,47,Yes,No,Fiber optic,No,No,Month-to-month,No,80.35,Yes
2489,No,9,No,No,Fiber optic,No,No,Month-to-month,No,70.05,No
2490,Yes,18,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.8,No
2491,Yes,66,No,Yes,DSL,Yes,No,Two year,Yes,56.75,No
2492,No,33,No,Yes,Fiber optic,Yes,No,Month-to-month,No,107.55,No
2493,Yes,71,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,105.1,Yes
2494,No,58,Yes,No,DSL,No,Yes,One year,Yes,68.4,No
2495,Yes,7,No,No,DSL,No,No,Month-to-month,No,44.75,No
2496,No,4,No,No,Fiber optic,No,No,Month-to-month,Yes,94.3,Yes
2497,Yes,12,No,No,DSL,No,No,Month-to-month,Yes,56.3,No
2498,Yes,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.25,No
2499,No,64,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,24.4,No
2500,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.05,Yes
2501,No,32,Yes,No,DSL,No,No,One year,No,74.75,No
2502,No,17,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,24.8,No
2503,No,34,No,No,Fiber optic,Yes,No,Month-to-month,Yes,85.2,No
2504,No,25,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,99.5,Yes
2505,No,21,Yes,No,Fiber optic,Yes,No,Month-to-month,No,103.85,No
2506,Yes,21,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.75,No
2507,No,21,No,Yes,Fiber optic,Yes,Yes,One year,Yes,104.55,No
2508,No,18,No,No,Fiber optic,No,No,Month-to-month,No,84.3,No
2509,No,51,Yes,No,Fiber optic,Yes,Yes,One year,Yes,111.55,No
2510,Yes,71,Yes,Yes,Fiber optic,No,No,One year,Yes,85.45,No
2511,No,41,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,25.25,No
2512,No,65,No,Yes,Fiber optic,No,No,Month-to-month,Yes,91.85,Yes
2513,No,70,No,Yes,DSL,Yes,Yes,One year,Yes,51.05,No
2514,No,69,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,116.0,No
2515,Yes,19,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,60.6,No
2516,No,68,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.0,No
2517,No,35,No,No,DSL,Yes,No,Month-to-month,No,49.2,No
2518,No,16,No,Yes,DSL,No,No,Month-to-month,No,55.3,No
2519,No,42,No,No,Fiber optic,No,Yes,Month-to-month,Yes,100.3,No
2520,No,12,Yes,No,DSL,Yes,Yes,Two year,No,49.85,No
2521,No,23,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,104.05,Yes
2522,Yes,69,Yes,No,DSL,Yes,No,Two year,Yes,43.95,No
2523,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,103.95,No
2524,Yes,29,No,No,Fiber optic,No,No,Month-to-month,Yes,70.75,Yes
2525,Yes,3,No,No,Fiber optic,No,No,Month-to-month,Yes,80.3,Yes
2526,Yes,4,No,No,DSL,No,No,Month-to-month,No,44.8,No
2527,No,1,No,No,DSL,No,No,Month-to-month,No,46.0,Yes
2528,Yes,50,Yes,No,DSL,No,Yes,Two year,Yes,70.5,No
2529,No,27,Yes,No,Fiber optic,No,No,Month-to-month,Yes,75.2,Yes
2530,No,3,No,No,Fiber optic,No,No,Month-to-month,No,94.9,No
2531,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,71.35,Yes
2532,No,30,Yes,No,Fiber optic,No,Yes,Month-to-month,No,106.4,No
2534,Yes,39,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.85,No
2535,No,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,18.95,No
2536,No,7,No,No,Fiber optic,No,No,Month-to-month,No,75.45,Yes
2537,No,1,No,No,DSL,No,No,Month-to-month,Yes,45.4,No
2538,No,62,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,113.95,No
2539,No,60,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,104.95,No
2540,No,59,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.35,Yes
2541,No,24,No,No,DSL,No,Yes,One year,No,54.6,No
2542,No,55,No,No,DSL,Yes,Yes,Month-to-month,Yes,54.55,Yes
2543,No,32,Yes,No,DSL,No,No,One year,No,30.15,No
2544,No,18,No,No,Fiber optic,No,No,Month-to-month,Yes,74.15,No
2545,No,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.3,No
2546,No,70,No,Yes,Fiber optic,Yes,No,One year,Yes,95.0,No
2547,No,27,No,No,Fiber optic,No,No,Month-to-month,Yes,94.55,Yes
2548,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,85.35,Yes
2549,No,1,No,No,DSL,No,No,Month-to-month,Yes,54.75,Yes
2550,No,22,No,No,Fiber optic,No,No,Month-to-month,Yes,80.0,No
2551,No,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.75,No
2552,Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,No,89.85,No
2553,No,6,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.0,No
2554,Yes,66,No,No,Fiber optic,No,No,One year,Yes,74.25,No
2555,No,26,Yes,Yes,DSL,Yes,Yes,One year,Yes,90.1,No
2556,Yes,62,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.4,No
2557,No,1,No,No,DSL,No,No,Month-to-month,Yes,34.7,Yes
2558,No,60,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,94.1,No
2559,No,38,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.05,No
2560,Yes,69,No,Yes,DSL,Yes,Yes,One year,No,59.1,No
2561,No,35,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,96.75,No
2562,No,1,Yes,No,DSL,No,Yes,Month-to-month,Yes,53.95,Yes
2563,No,35,No,No,Fiber optic,No,Yes,Month-to-month,Yes,89.85,No
2564,No,72,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,112.9,No
2565,Yes,41,No,Yes,DSL,No,Yes,One year,Yes,66.5,Yes
2566,No,1,No,Yes,DSL,No,No,Month-to-month,No,50.55,Yes
2567,No,65,Yes,No,Fiber optic,Yes,No,Month-to-month,No,105.25,Yes
2568,Yes,42,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.35,No
2569,No,66,Yes,Yes,DSL,No,Yes,One year,Yes,63.85,No
2570,No,15,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,84.45,No
2571,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,70.15,Yes
2572,No,3,No,Yes,DSL,No,No,Month-to-month,Yes,29.6,Yes
2573,No,36,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.55,No
2574,No,55,Yes,Yes,DSL,No,Yes,One year,Yes,66.05,No
2575,No,18,No,No,Fiber optic,No,Yes,Month-to-month,Yes,88.35,Yes
2576,No,29,No,Yes,DSL,No,No,Month-to-month,Yes,30.6,Yes
2577,No,18,No,No,Fiber optic,No,Yes,Month-to-month,Yes,99.85,Yes
2578,No,15,Yes,No,DSL,No,No,Month-to-month,Yes,64.65,Yes
2579,Yes,31,No,No,DSL,No,No,Month-to-month,No,59.7,No
2580,No,18,No,Yes,Fiber optic,Yes,No,Month-to-month,No,101.3,No
2581,No,23,No,Yes,Fiber optic,No,No,Month-to-month,Yes,79.15,Yes
2582,Yes,69,Yes,No,DSL,Yes,Yes,Two year,No,39.1,No
2583,Yes,47,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,113.45,No
2584,Yes,19,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.2,No
2585,No,33,No,No,DSL,No,No,Month-to-month,Yes,44.55,No
2586,No,67,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.5,No
2587,No,13,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.3,No
2588,No,22,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.45,No
2589,Yes,68,No,Yes,DSL,Yes,Yes,Two year,No,60.3,No
2590,No,48,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.55,No
2591,No,6,No,No,Fiber optic,Yes,No,Month-to-month,Yes,80.8,No
2592,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,24.05,Yes
2593,No,32,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,104.9,Yes
2594,No,1,No,No,Fiber optic,No,Yes,Month-to-month,No,74.0,No
2595,Yes,72,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,23.3,No
2596,No,56,Yes,Yes,DSL,Yes,Yes,Two year,Yes,85.65,No
2597,Yes,5,No,No,Fiber optic,No,No,Month-to-month,No,69.95,No
2598,Yes,70,Yes,Yes,DSL,No,No,Two year,Yes,69.2,No
2599,Yes,13,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.5,No
2600,No,1,No,No,DSL,No,No,Month-to-month,Yes,45.85,Yes
2601,Yes,69,No,No,Fiber optic,No,Yes,Two year,Yes,95.2,No
2602,No,51,No,No,Fiber optic,No,No,Month-to-month,Yes,94.65,Yes
2604,No,11,No,Yes,Fiber optic,No,No,Month-to-month,Yes,74.55,Yes
2605,Yes,6,No,No,DSL,No,No,Month-to-month,No,54.85,No
2606,Yes,22,No,Yes,DSL,No,No,Month-to-month,No,39.2,No
2607,Yes,23,No,No,Fiber optic,No,No,Month-to-month,Yes,83.75,No
2608,Yes,67,No,Yes,Fiber optic,Yes,No,One year,No,87.4,Yes
2609,Yes,41,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.25,No
2610,No,50,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.4,No
2611,No,4,No,No,Fiber optic,No,No,Month-to-month,Yes,70.2,No
2613,No,41,No,Yes,Fiber optic,No,No,Month-to-month,Yes,94.55,No
2614,Yes,2,No,No,Fiber optic,No,No,Month-to-month,No,70.4,Yes
2615,No,36,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.15,Yes
2616,No,10,No,No,Fiber optic,Yes,No,Month-to-month,Yes,98.5,Yes
2617,No,14,No,No,DSL,Yes,Yes,Month-to-month,Yes,55.0,No
2618,No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.7,No
2619,No,4,No,No,Fiber optic,No,No,Month-to-month,No,70.4,Yes
2620,Yes,62,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,96.1,No
2621,No,60,Yes,Yes,DSL,No,No,One year,Yes,71.75,No
2622,No,8,No,No,Fiber optic,No,Yes,Month-to-month,Yes,100.15,No
2623,Yes,37,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.8,No
2624,Yes,9,No,Yes,DSL,No,No,Month-to-month,Yes,29.95,Yes
2625,No,8,No,No,Fiber optic,No,No,Month-to-month,Yes,86.55,Yes
2626,Yes,45,Yes,Yes,DSL,Yes,Yes,Two year,Yes,84.35,No
2627,Yes,28,No,No,DSL,No,No,Month-to-month,Yes,35.9,No
2628,No,35,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,113.2,No
2629,Yes,5,No,No,DSL,No,No,Month-to-month,No,44.8,No
2630,No,27,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,101.25,Yes
2631,Yes,1,No,Yes,DSL,No,No,Month-to-month,Yes,49.9,No
2632,No,23,Yes,No,Fiber optic,Yes,No,One year,Yes,99.95,No
2633,Yes,26,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.65,No
2634,No,29,No,No,Fiber optic,No,No,Month-to-month,Yes,94.45,Yes
2635,No,24,Yes,No,DSL,No,Yes,Month-to-month,No,56.35,No
2636,No,9,No,Yes,DSL,No,No,Month-to-month,No,50.85,No
2637,Yes,1,No,No,DSL,No,Yes,Month-to-month,Yes,59.55,No
2638,No,51,No,Yes,DSL,No,Yes,One year,Yes,78.65,No
2639,No,2,No,No,DSL,No,No,Month-to-month,Yes,35.1,Yes
2640,Yes,8,No,No,DSL,No,No,Month-to-month,Yes,45.45,No
2641,No,59,Yes,Yes,DSL,Yes,Yes,One year,No,79.85,No
2642,Yes,63,Yes,Yes,DSL,No,Yes,One year,Yes,40.6,No
2643,No,57,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,103.05,No
2644,Yes,53,Yes,Yes,DSL,No,Yes,Two year,Yes,69.7,No
2645,No,4,No,No,Fiber optic,Yes,No,Month-to-month,Yes,94.75,No
2646,No,4,Yes,No,DSL,No,No,Month-to-month,Yes,29.05,No
2648,Yes,17,No,No,Fiber optic,No,No,Month-to-month,Yes,69.0,Yes
2649,No,8,No,No,DSL,No,No,Month-to-month,Yes,66.25,No
2650,No,20,No,No,Fiber optic,Yes,No,Month-to-month,Yes,88.7,Yes
2651,No,9,No,Yes,Fiber optic,Yes,No,Month-to-month,No,80.55,No
2652,No,70,Yes,No,DSL,Yes,Yes,Two year,Yes,58.35,No
2653,Yes,7,Yes,Yes,DSL,Yes,No,Month-to-month,No,58.85,No
2654,No,15,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.4,Yes
2655,No,35,No,No,Fiber optic,No,No,Month-to-month,No,70.55,No
2656,Yes,22,Yes,Yes,DSL,Yes,No,Month-to-month,No,61.15,Yes
2657,No,8,No,Yes,DSL,No,No,Month-to-month,Yes,49.55,No
2658,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,113.1,No
2659,Yes,1,No,No,Fiber optic,No,No,Month-to-month,Yes,79.35,Yes
2660,Yes,1,No,No,DSL,No,No,Month-to-month,Yes,24.7,No
2661,No,35,Yes,No,DSL,No,No,Two year,No,55.25,No
2662,No,47,Yes,No,Fiber optic,Yes,Yes,One year,Yes,110.85,Yes
2663,Yes,42,Yes,No,Fiber optic,No,No,One year,No,97.1,No
2664,Yes,54,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.35,No
2665,No,24,No,No,DSL,No,Yes,Month-to-month,Yes,51.1,No
2666,No,15,No,Yes,Fiber optic,No,No,Month-to-month,Yes,100.15,No
2667,No,71,No,No,Fiber optic,Yes,No,Two year,No,104.05,No
2668,No,49,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,103.7,Yes
2669,No,16,Yes,No,DSL,No,No,Month-to-month,Yes,50.15,Yes
2670,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,70.3,No
2671,Yes,4,No,No,DSL,No,No,Month-to-month,No,45.25,No
2672,No,1,No,No,DSL,No,No,Month-to-month,No,35.9,Yes
2673,Yes,51,Yes,Yes,DSL,No,Yes,Two year,No,60.5,No
2674,Yes,23,Yes,No,DSL,No,Yes,Two year,No,34.6,No
2675,No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.85,No
2676,No,54,No,No,Fiber optic,Yes,No,Month-to-month,Yes,99.05,No
2677,No,12,No,No,DSL,No,No,Month-to-month,Yes,45.05,No
2678,Yes,1,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.85,No
2679,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.45,Yes
2680,No,36,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,87.55,Yes
2681,No,14,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.4,No
2682,No,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.25,Yes
2683,No,1,No,No,DSL,No,No,Month-to-month,No,50.55,Yes
2684,No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,117.35,No
2685,No,15,No,Yes,Fiber optic,No,No,Month-to-month,Yes,94.65,No
2686,Yes,14,Yes,Yes,DSL,No,No,Month-to-month,Yes,65.45,Yes
2687,No,24,Yes,No,DSL,No,Yes,Month-to-month,No,54.95,No
2688,Yes,2,No,No,DSL,No,No,Month-to-month,Yes,24.4,Yes
2689,Yes,22,No,No,DSL,No,Yes,Month-to-month,Yes,51.1,No
2690,Yes,68,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.5,No
2691,No,23,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,90.0,No
2692,No,5,No,Yes,Fiber optic,No,No,Month-to-month,Yes,78.75,Yes
2693,No,68,Yes,Yes,DSL,Yes,Yes,Two year,Yes,90.8,No
2694,Yes,57,Yes,Yes,DSL,Yes,Yes,Two year,No,89.55,No
2695,No,12,Yes,No,Fiber optic,No,Yes,Month-to-month,No,80.85,Yes
2696,No,71,Yes,Yes,DSL,Yes,Yes,Two year,Yes,86.1,No
2697,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.55,No
2698,No,9,No,No,DSL,No,Yes,Month-to-month,No,49.2,No
2699,No,52,No,No,Fiber optic,Yes,No,Two year,Yes,89.45,No
2700,No,4,No,No,DSL,No,No,Month-to-month,Yes,46.0,Yes
2701,No,48,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,No,117.45,Yes
2702,No,43,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,108.15,Yes
2703,No,59,No,No,DSL,Yes,No,One year,Yes,61.35,No
2704,No,5,No,No,Fiber optic,No,No,Month-to-month,Yes,89.5,Yes
2705,No,71,Yes,No,DSL,Yes,Yes,Two year,Yes,82.55,No
2706,No,2,No,No,DSL,No,No,Month-to-month,Yes,49.4,Yes
2707,No,57,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.9,No
2708,Yes,53,Yes,Yes,DSL,No,No,Two year,No,69.7,No
2709,No,23,No,Yes,Fiber optic,No,No,Month-to-month,No,95.3,No
2710,No,21,No,No,Fiber optic,No,No,Month-to-month,Yes,97.35,Yes
2711,Yes,56,Yes,Yes,DSL,No,Yes,Two year,Yes,75.85,No
2712,Yes,28,No,Yes,DSL,No,No,Month-to-month,No,64.4,No
2713,No,27,No,Yes,DSL,Yes,Yes,Month-to-month,Yes,84.8,No
2714,No,68,Yes,Yes,DSL,Yes,Yes,Two year,Yes,82.45,No
2715,Yes,34,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.95,No
2716,No,35,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.25,Yes
2717,Yes,1,No,No,DSL,Yes,No,Month-to-month,No,48.95,Yes
2718,No,6,Yes,No,DSL,No,No,Month-to-month,Yes,49.45,No
2719,Yes,19,No,No,DSL,No,Yes,Month-to-month,No,48.8,No
2720,Yes,47,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.35,Yes
2721,No,30,No,Yes,DSL,No,No,Month-to-month,Yes,50.4,Yes
2722,Yes,22,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.75,No
2723,No,20,Yes,No,DSL,No,Yes,Month-to-month,No,59.2,No
2724,No,32,No,No,Fiber optic,No,No,Month-to-month,Yes,85.65,No
2725,No,60,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,110.0,No
2726,No,50,No internet service,No internet service,No,No internet service,No internet service,One year,No,25.2,No
2727,No,38,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,66.15,No
2728,No,69,No,Yes,Fiber optic,Yes,Yes,One year,Yes,104.05,Yes
2729,No,54,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,114.65,No
2730,Yes,61,Yes,Yes,Fiber optic,No,No,One year,Yes,106.0,Yes
2731,No,9,No,No,Fiber optic,No,No,Month-to-month,No,71.0,Yes
2732,No,1,Yes,No,Fiber optic,No,No,Month-to-month,Yes,95.0,Yes
2733,No,59,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,94.75,No
2734,No,45,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,84.55,No
2735,Yes,62,No,No,Fiber optic,Yes,No,One year,Yes,100.15,Yes
2736,Yes,5,No,No,DSL,No,Yes,Month-to-month,Yes,55.7,No
2737,No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,74.4,Yes
2739,No,40,No,No,DSL,No,No,One year,No,55.8,No
2740,No,70,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,88.0,No
2741,Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,No,89.7,No
2742,Yes,5,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,84.5,Yes
2743,No,1,No,No,Fiber optic,No,No,Month-to-month,No,85.8,Yes
2744,No,40,Yes,Yes,DSL,Yes,No,One year,No,62.05,No
2745,Yes,59,No,No,DSL,Yes,Yes,Two year,Yes,72.1,No
2746,No,24,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,104.15,No
2747,No,25,Yes,No,DSL,No,Yes,Month-to-month,Yes,69.5,No
2748,Yes,71,No,Yes,DSL,Yes,Yes,One year,Yes,72.9,No
2749,No,27,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.15,No
2750,Yes,20,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.7,No
2751,No,52,Yes,No,DSL,Yes,No,One year,No,53.75,No
2752,Yes,1,No,No,DSL,No,Yes,Month-to-month,No,40.1,Yes
2753,Yes,30,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.55,No
2754,No,62,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,23.75,No
2756,No,55,Yes,Yes,Fiber optic,No,No,One year,Yes,100.9,No
2757,No,33,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.05,No
2758,No,18,No,No,Fiber optic,No,No,Month-to-month,Yes,95.45,Yes
2759,No,45,Yes,No,DSL,Yes,No,Two year,No,53.3,No
2760,No,68,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,114.9,No
2762,Yes,69,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.9,No
2763,No,33,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.7,No
2764,Yes,59,Yes,Yes,DSL,Yes,Yes,Two year,Yes,86.75,No
2765,No,20,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.6,No
2766,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.3,Yes
2767,No,11,No,Yes,Fiber optic,No,No,Month-to-month,No,74.95,Yes
2768,No,44,No,No,DSL,Yes,Yes,One year,No,74.85,No
2769,Yes,40,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,96.35,No
2770,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,114.45,No
2771,No,32,No,No,Fiber optic,No,No,Month-to-month,Yes,85.0,Yes
2772,Yes,10,Yes,Yes,DSL,No,Yes,One year,No,40.25,No
2773,No,40,No,No,Fiber optic,No,No,Month-to-month,Yes,91.55,No
2774,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,85.7,Yes
2775,No,12,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.15,Yes
2776,Yes,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.2,No
2777,No,46,No,Yes,Fiber optic,Yes,Yes,Two year,No,108.65,No
2778,Yes,37,No,No,Fiber optic,No,No,Month-to-month,Yes,95.25,No
2779,No,18,No,Yes,Fiber optic,No,No,Month-to-month,Yes,80.65,Yes
2780,No,37,No,No,Fiber optic,Yes,No,Month-to-month,Yes,99.5,Yes
2781,Yes,70,No,Yes,DSL,Yes,Yes,Two year,Yes,80.4,No
2782,Yes,54,Yes,Yes,DSL,No,Yes,Two year,Yes,65.65,No
2783,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.0,Yes
2784,No,67,Yes,Yes,Fiber optic,Yes,No,One year,No,109.9,No
2785,No,3,No,No,DSL,No,No,Month-to-month,Yes,60.25,No
2786,Yes,26,No,Yes,DSL,No,Yes,Month-to-month,Yes,60.05,Yes
2787,Yes,64,Yes,No,DSL,Yes,Yes,Two year,No,69.25,No
2788,No,68,Yes,Yes,DSL,Yes,No,One year,No,76.75,No
2789,No,29,No,No,Fiber optic,Yes,No,Month-to-month,Yes,99.05,Yes
2790,No,17,No,No,DSL,Yes,Yes,Month-to-month,Yes,69.0,No
2791,Yes,13,No,No,DSL,No,No,Month-to-month,No,66.4,No
2792,No,23,No,Yes,Fiber optic,Yes,Yes,Month-to-month,No,83.2,No
2793,Yes,65,No,Yes,DSL,No,Yes,Two year,Yes,79.4,No
